LastName,FirstName,Office,Expertise,Home Phone
"Hunter","Anna","Moscow","Continental","208-882-3424"
"Marshal","Debbie","Moscow","Delta","208-882-1525"
"Austin","Joseph","Pullman","American Airlines","509-333-4576"
"Clark","Heather","Pullman","American Airlines","509-332-9087"
"Thornton","Janet","Pullman","British Airways","509-332-8679"
"Norton","Cynthia","Colfax","Delta","509-357-5676"
"Walker","Ken","Pullman","British Airways","509-332-6709"
"Nauman","Michael","Colfax","British Airways","509-357-5673"
"Boyd","Gloria","Pullman","British Airways","509-332-1234"
"Proctor","Ginny","Lewiston","Continental","208-875-3333"
"Hunt","Jack","Pullman","Delta","509-332-6708"
"West","Helen","Colfax","American Airlines","509-357-3487"
"Henderson","Angela","Pullman","British Airways","509-332-4343"
"Stewart","Kathy","Colfax","British Airways","509-357-8889"
"Cox","Linda","Pullman","American Airlines","509-332-7456"
"Choi","Diane","Moscow","British Airways","208-882-5478"
"Fujimoto","Carla","Pullman","Continental","509-332-4532"
"Herman","Frank","Pullman","American Airlines","509-332-1267"
"Wallace","Alex","Moscow","Delta","208-882-5576"
"Hall","Marion","Colfax","American Airlines","509-357-3434"
"Weber","Cliff","Lewiston","American Airlines","208-875-7844"
"Frazier","Nancy","Pullman","Continental","509-332-1243"
"Sanchez","Ramon","Moscow","Continental","208-882-7541"
"Looney","Carl","Pullman","Delta","509-334-1295"
